zip,city,state,latitude,longitude,timezone,dst,location
78291,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78292,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78293,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78294,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78295,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78296,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78297,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78298,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78299,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78301,McAllen,TX,26.200001,-98.231166,-6,True,POINT(-98.231166 26.200001)
78330,Agua Dulce,TX,27.782267,-97.90134,-6,True,POINT(-97.90134 27.782267)
78331,Alice,TX,27.750684,-98.082694,-6,True,POINT(-98.082694 27.750684)
78332,Alice,TX,27.737965,-98.09302,-6,True,POINT(-98.09302 27.737965)
78333,Alice,TX,27.659473,-98.012331,-6,True,POINT(-98.012331 27.659473)
78335,Aransas Pass,TX,27.912454,-97.188437,-6,True,POINT(-97.188437 27.912454)
78336,Aransas Pass,TX,27.915764,-97.15436,-6,True,POINT(-97.15436 27.915764)
78337,Rancho Alegre,TX,27.738511,-98.098534,-6,True,POINT(-98.098534 27.738511)
78338,Armstrong,TX,26.870238,-97.77433,-6,True,POINT(-97.77433 26.870238)
78339,Banquete,TX,27.807025,-97.79801,-6,True,POINT(-97.79801 27.807025)
78340,Bayside,TX,28.103283,-97.20757,-6,True,POINT(-97.20757 28.103283)
78341,Benavides,TX,27.592468,-98.414188,-6,True,POINT(-98.414188 27.592468)
78342,Ben Bolt,TX,27.659473,-98.012331,-6,True,POINT(-98.012331 27.659473)
78343,Bishop,TX,27.60549,-97.78572,-6,True,POINT(-97.78572 27.60549)
78344,Bruni,TX,27.43254,-98.81271,-6,True,POINT(-98.81271 27.43254)
78347,Chapman Ranch,TX,27.593816,-97.46214,-6,True,POINT(-97.46214 27.593816)
78349,Concepcion,TX,27.316167,-98.29797,-6,True,POINT(-98.29797 27.316167)
78350,Dinero,TX,28.421814,-98.071902,-6,True,POINT(-98.071902 28.421814)
78351,Driscoll,TX,27.672549,-97.75105,-6,True,POINT(-97.75105 27.672549)
78352,Edroy,TX,27.973465,-97.68169,-6,True,POINT(-97.68169 27.973465)
78353,Encino,TX,26.894094,-98.21561,-6,True,POINT(-98.21561 26.894094)
78355,Falfurrias,TX,27.217893,-98.16479,-6,True,POINT(-98.16479 27.217893)
78357,Freer,TX,27.939823,-98.57624,-6,True,POINT(-98.57624 27.939823)
78358,Fulton,TX,28.065865,-97.04066,-6,True,POINT(-97.04066 28.065865)
78359,Gregory,TX,27.920604,-97.29248,-6,True,POINT(-97.29248 27.920604)
78360,Guerra,TX,27.071318,-98.686327,-6,True,POINT(-98.686327 27.071318)
78361,Hebbronville,TX,27.17199,-98.73083,-6,True,POINT(-98.73083 27.17199)
78362,Ingleside,TX,27.866143,-97.20712,-6,True,POINT(-97.20712 27.866143)
78363,Kingsville,TX,27.496472,-97.86808,-6,True,POINT(-97.86808 27.496472)
78364,Kingsville,TX,27.342872,-97.70355,-6,True,POINT(-97.70355 27.342872)
78368,Mathis,TX,28.101323,-97.82968,-6,True,POINT(-97.82968 28.101323)
78369,Mirando City,TX,27.44333,-98.99944,-6,True,POINT(-98.99944 27.44333)
78370,Odem,TX,27.955312,-97.59288,-6,True,POINT(-97.59288 27.955312)
78371,Oilton,TX,27.467237,-98.97431,-6,True,POINT(-98.97431 27.467237)
78372,Orange Grove,TX,27.963592,-98.07031,-6,True,POINT(-98.07031 27.963592)
78373,Port Aransas,TX,27.818477,-97.07998,-6,True,POINT(-97.07998 27.818477)
78374,Portland,TX,27.884565,-97.32054,-6,True,POINT(-97.32054 27.884565)
78375,Premont,TX,27.368433,-98.12184,-6,True,POINT(-98.12184 27.368433)
78376,Realitos,TX,27.363706,-98.56442,-6,True,POINT(-98.56442 27.363706)
78377,Refugio,TX,28.327234,-97.24787,-6,True,POINT(-97.24787 28.327234)
78379,Riviera,TX,27.299073,-97.78433,-6,True,POINT(-97.78433 27.299073)
78380,Robstown,TX,27.782255,-97.68609,-6,True,POINT(-97.68609 27.782255)
78381,Rockport,TX,28.013108,-97.09364,-6,True,POINT(-97.09364 28.013108)
78382,Rockport,TX,28.047744,-97.04818,-6,True,POINT(-97.04818 28.047744)
78383,Sandia,TX,28.066598,-97.92891,-6,True,POINT(-97.92891 28.066598)
78384,San Diego,TX,27.683506,-98.38142,-6,True,POINT(-98.38142 27.683506)
78385,Sarita,TX,27.17914,-97.82511,-6,True,POINT(-97.82511 27.17914)
78387,Sinton,TX,28.054995,-97.5133,-6,True,POINT(-97.5133 28.054995)
78389,Skidmore,TX,28.237359,-97.69331,-6,True,POINT(-97.69331 28.237359)
78390,Taft,TX,27.977641,-97.37032,-6,True,POINT(-97.37032 27.977641)
78391,Tynan,TX,28.169309,-97.75404,-6,True,POINT(-97.75404 28.169309)
78393,Woodsboro,TX,28.206223,-97.30778,-6,True,POINT(-97.30778 28.206223)
78401,Corpus Christi,TX,27.795805,-97.40019,-6,True,POINT(-97.40019 27.795805)
78402,Corpus Christi,TX,27.829732,-97.4016,-6,True,POINT(-97.4016 27.829732)
78403,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78404,Corpus Christi,TX,27.770056,-97.4001,-6,True,POINT(-97.4001 27.770056)
78405,Corpus Christi,TX,27.777922,-97.42695,-6,True,POINT(-97.42695 27.777922)
78406,Corpus Christi,TX,27.776304,-97.51253,-6,True,POINT(-97.51253 27.776304)
78407,Corpus Christi,TX,27.802404,-97.42599,-6,True,POINT(-97.42599 27.802404)
78408,Corpus Christi,TX,27.796171,-97.43796,-6,True,POINT(-97.43796 27.796171)
78409,Corpus Christi,TX,27.806753,-97.50971,-6,True,POINT(-97.50971 27.806753)
78410,Corpus Christi,TX,27.846568,-97.59435,-6,True,POINT(-97.59435 27.846568)
78411,Corpus Christi,TX,27.733058,-97.38542,-6,True,POINT(-97.38542 27.733058)
78412,Corpus Christi,TX,27.709309,-97.35225,-6,True,POINT(-97.35225 27.709309)
78413,Corpus Christi,TX,27.687792,-97.40165,-6,True,POINT(-97.40165 27.687792)
78414,Corpus Christi,TX,27.672334,-97.37051,-6,True,POINT(-97.37051 27.672334)
78415,Corpus Christi,TX,27.727083,-97.4289,-6,True,POINT(-97.4289 27.727083)
78416,Corpus Christi,TX,27.752356,-97.43465,-6,True,POINT(-97.43465 27.752356)
78417,Corpus Christi,TX,27.729855,-97.44503,-6,True,POINT(-97.44503 27.729855)
78418,Corpus Christi,TX,27.633433,-97.26792,-6,True,POINT(-97.26792 27.633433)
78419,Corpus Christi,TX,27.723611,-97.380884,-6,True,POINT(-97.380884 27.723611)
